customer_id,age,tenure_months,monthly_spend,total_spend,contract_type,region,support_tickets,churn
C100500,,45,105.25,4856.33,Two year,North,0,No
C100501,47,36,84.4,2935.71,Two year,South,0,No
C100502,,41,98.29,4008.19,Month-to-month,South,2,No
C100503,25,29,79.98,2361.33,Two year,North,1,No
C100504,33,27,66.07,1785.92,Month-to-month,South,3,No
C100505,60,35,87.89,3080.71,One year,West,0,No
C100506,28,24,69.63,1747.98,Month-to-month,South,6,No
C100507,74,20,58.64,1230.36,Two year,East,0,No
C100508,,12,37.44,465.38,Month-to-month,North,5,Yes
C100509,30,1,10.54,10.02,One year,West,0,No
C100510,,20,51.31,1057.96,Two year,East,2,No
C100511,34,22,59.26,1265.35,Two year,West,4,No
C100512,37,23,57.83,,One year,West,0,No
C100513,22,37,105.19,3907.97,Month-to-month,West,4,No
C100514,28,16,48.14,738.42,Month-to-month,North,5,No
C100515,39,28,63.49,1721.78,Month-to-month,North,6,Yes
C100516,43,43,103.29,4429.87,Month-to-month,North,3,No
C100517,19,1,25.34,25.66,Two year,West,1,No
C100518,34,22,50.78,1134.21,Month-to-month,South,0,No
C100519,,16,58.63,975.5,Month-to-month,East,0,No
C100520,56,30,74.13,2309.76,Month-to-month,South,0,Yes
C100521,60,15,45.93,668.6,Month-to-month,East,3,Yes
C100522,38,32,73.57,2283.09,One year,South,3,No
C100523,79,12,38.78,461.66,Month-to-month,North,0,No
C100524,52,29,76.25,2320.07,Month-to-month,North,1,No
C100525,,33,78.17,2540.92,One year,South,0,No
C100526,55,7,41.54,282.36,Month-to-month,East,4,Yes
C100527,43,27,77.49,2010.74,One year,South,0,No
C100528,47,12,41.0,516.28,Month-to-month,South,1,No
C100529,,44,101.49,4312.91,Month-to-month,North,3,No
C100530,27,39,88.63,3443.89,Month-to-month,South,3,No
C100531,33,24,63.74,1526.31,Month-to-month,North,3,No
C100532,,32,73.12,2278.73,One year,South,4,No
C100533,,21,66.75,1342.06,Two year,South,2,No
C100534,50,9,33.91,303.02,One year,North,1,No
C100535,18,22,59.43,1248.33,Month-to-month,South,3,No
C100536,36,20,50.4,1003.35,Two year,South,1,No
C100537,53,9,40.52,356.15,Month-to-month,West,2,No
C100538,49,15,47.56,716.47,Month-to-month,North,7,Yes
C100539,,23,55.66,1224.3,One year,South,0,No
C100540,,8,39.74,307.9,Two year,North,3,No
C100541,50,41,95.48,4043.82,Two year,South,2,No
C100542,50,38,90.26,3406.1,Two year,East,1,No
C100543,58,8,40.19,308.15,Month-to-month,West,6,Yes
C100544,61,41,93.41,3757.49,Month-to-month,South,3,Yes
C100545,38,15,44.8,639.9,Month-to-month,North,2,No
C100546,46,32,69.52,2196.83,Two year,West,0,No
C100547,40,25,55.83,1355.68,Month-to-month,East,3,No
C100548,30,27,76.02,2151.74,Month-to-month,East,0,No
C100549,48,23,56.27,1308.23,Month-to-month,East,4,Yes
C100550,40,6,31.86,,Two year,East,0,No
C100551,53,32,83.15,2639.84,Month-to-month,South,1,No
C100552,63,58,131.55,7501.33,Month-to-month,West,5,No
C100553,27,27,74.59,1993.28,Month-to-month,North,1,No
C100554,48,17,40.71,710.15,Month-to-month,South,1,Yes
C100555,,14,48.23,702.85,Month-to-month,East,6,Yes
C100556,18,42,96.62,4062.11,Month-to-month,East,3,No
C100557,44,34,87.03,3064.53,Month-to-month,West,2,No
C100558,32,42,96.22,4152.85,One year,North,0,No
C100559,38,16,52.54,831.16,One year,East,0,No
C100560,70,17,45.69,773.77,Month-to-month,North,3,No
C100561,,38,87.92,3346.34,One year,West,3,No
C100562,34,23,60.62,1374.43,Month-to-month,East,1,Yes
C100563,40,36,74.88,2733.88,Month-to-month,North,6,Yes
C100564,56,39,90.58,3357.28,Month-to-month,West,4,No
C100565,63,34,85.46,2973.49,Month-to-month,East,1,No
C100566,28,25,65.63,1647.57,Month-to-month,South,4,No
C100567,,36,79.82,2813.29,Month-to-month,North,0,No
C100568,36,19,47.3,924.54,One year,West,4,No
C100569,63,43,84.65,3757.21,One year,North,2,No
C100570,36,18,51.94,904.74,Month-to-month,North,4,No
C100571,,46,93.7,4182.2,One year,North,0,No
C100572,46,16,47.71,734.41,Two year,East,1,No
C100573,48,32,66.07,2125.46,One year,East,0,No
C100574,59,24,60.15,1458.13,One year,West,2,No
C100575,,39,90.17,3633.11,Month-to-month,West,5,No
C100576,20,45,107.42,4838.66,One year,East,0,No
C100577,44,1,25.56,25.37,Month-to-month,South,5,Yes
C100578,41,58,122.68,6947.29,Month-to-month,East,2,No
C100579,58,27,72.84,2024.33,Month-to-month,South,1,No
C100580,41,37,85.92,3158.49,Two year,West,0,No
C100581,,9,31.54,281.99,Month-to-month,South,5,Yes
C100582,51,30,83.1,2576.97,One year,South,5,No
C100583,38,20,58.11,1139.7,One year,South,4,No
C100584,,14,44.88,606.81,One year,North,0,No
C100585,38,31,80.86,2402.96,Month-to-month,East,3,No
C100586,45,24,75.9,1751.3,Month-to-month,East,3,No
C100587,44,20,56.42,1157.39,Month-to-month,West,3,No
C100588,25,41,88.5,3606.98,Two year,West,0,No
C100589,,45,99.42,4456.61,Month-to-month,North,1,No
C100590,72,19,42.78,793.22,Month-to-month,South,1,No
C100591,65,17,53.34,897.09,Two year,West,0,No
C100592,33,24,60.48,1385.99,Month-to-month,East,3,No
C100593,37,26,55.04,1402.28,Two year,South,0,No
C100594,,1,7.18,7.2,Month-to-month,West,1,Yes
C100595,50,17,43.42,730.26,One year,North,0,No
C100596,41,12,54.39,648.8,Month-to-month,South,3,No
C100597,52,30,75.79,2178.6,Month-to-month,East,3,No
C100598,44,10,34.22,338.95,Month-to-month,West,0,No
C100599,45,26,67.83,1691.37,One year,South,1,No
C100600,26,39,94.98,3830.01,Month-to-month,North,5,No
C100011,31,18,54.38,,Month-to-month,South,3,No
C100201,,1,30.28,30.26,Month-to-month,South,0,No
C100334,39,27,73.59,1945.51,One year,West,0,No
